SERIE A,,,,,,,,,,,,,
,,,,,,,,,,,,,
Porta Voz,Miguel Kazan,Recife-PE,,,,,,,,,,,
X,7,8,,,,,1,"14,29%",-7,"-100,00%",,,https://x.com/lucasvcavalcan?t=jHMY7fcstXlN0hJarGSCQw&s=08
Youtube,53,61,,,,,8,"15,09%",-53,"-100,00%",,,https://www.youtube.com/@lucasvcavalcanti/
Kawai,128,135,,,,,7,"5,47%",-128,"-100,00%",,,https://kwai-video.com/u/@lucasvcavalcanti/ktNJCNQn
Total,3.018,3.762,0,0,0,0,744,"24,65%",-3.018,"-100,00%",,,
,,,,,,,,,,,,,
Porta Vozes,Pedro Vilaça,Jaboatão - PE,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,2.253,2.331,,,,,78,"3,46%",-2.253,"-100,00%",,,https://www.instagram.com/pedrovilacape/
TikTok,113,122,,,,,9,"7,96%",-113,"-100,00%",,,https://www.tiktok.com/@pedro.vilaca_pe
X,14,13,,,,,-1,"-7,14%",-14,"-100,00%",,,https://x.com/Pedrogvilaca_
Youtube,3,3,,,,,0,"0,00%",-3,"-100,00%",,,https://www.youtube.com/@pedro.vilaca_pe
Kawai,2,2,,,,,0,"0,00%",-2,"-100,00%",,,https://kwai.com/@pedro.vilaca_pe
Total,2.385,2.471,0,0,0,0,86,"3,61%",-2.385,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Evandro Badeira,Caruaru,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,4.336,4.613,,,,,277,"6,39%",-4.336,"-100,00%",,,https://www.instagram.com/bandeiradrones/
TikTok,10,10,,,,,0,"0,00%",-10,"-100,00%",,,https://www.tiktok.com/@evandro__bandeira
X,0,,,,,,0,#DIV/0!,0,#DIV/0!,,,
Youtube,3510,3510,,,,,0,"0,00%",-3.510,"-100,00%",,,https://www.youtube.com/@BandeiraDrones
Kawai,0,,,,,,0,#DIV/0!,0,#DIV/0!,,,
Total,7.856,8.133,0,0,0,0,277,"3,53%",-7.856,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Igor,Natal - RN,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,760,756,,,,,-4,"-0,53%",-760,"-100,00%",,,https://www.instagram.com/Igor.FernandesRN
TikTok,15,17,,,,,2,"13,33%",-15,"-100,00%",,,tiktok.com/@igorfernandesrnn
X,4,4,,,,,0,"0,00%",-4,"-100,00%",,,https://x.com/Igor62234760?t=pmQmmVvcf0aMzcvKMYstaA&s=08
Youtube,6,6,,,,,0,"0,00%",-6,"-100,00%",,,https://www.youtube.com/@Igor.FernandesRN
Kawai,78,88,,,,,10,"12,82%",-78,"-100,00%",,,https://www.kwai.com/@ugrwn044?kpn=KWAI&share_device_id=AC262086-6691-4B5B-89E4-5ABFCF4C1D8C&share_item_type=profile&share_id=AC262086-6691-4B5B-89E4-5ABFCF4C1D8C_1749487962603&language=pt-CA&share_uid=150001694553868&fid=150001694553868&cc=WHATS_APP&timestamp=1749487962603&authorKwaiId=ugrwn044&translateKey=share_profile_default_word&shareBucket=br&pwa_source=share&shareCountry=BRA&shareBiz=profile&share_item_info=%40ugrwn044&ept=v2&short_key=BICaqe1e&PWA_share_N_string=20&request_source=1001&share_redirect_switch_choice=pwa
Total,863,871,0,0,0,0,8,"0,93%",-863,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Evandro Badeira PE,7.856,8.133,0,0,0,0,277,"3,53%",-7.856,"-100,00%",,,
John - PA,3.939,3.944,0,0,0,0,5,"0,13%",-3.939,"-100,00%",,,
Bismark - PE,3.254,3.437,0,0,0,0,183,"5,62%",-3.254,"-100,00%",,,
Arquivo da Onça - PE,3.196,3.416,0,0,0,0,220,"6,88%",-3.196,"-100,00%",,,
Wellington - PE,2.909,2.982,0,0,0,0,73,"2,51%",-2.909,"-100,00%",,,
